csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
event-assertion,EventAssertion,assertionValue,"An asserted value, if it is not numeric.",string,default,,`UV-light`,gum,,,,
event-assertion,EventAssertion,assertionValueIRI,The IRI of the controlled vocabulary value for the value of an Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,`https://vocab.nerc.ac.uk/collection/S10/current/S103/`,gum,,,,
event-assertion,EventAssertion,assertionValueVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionValue is given.,string,default,,`https://vocab.nerc.ac.uk/collection/S10/current/`,gum,,,,
event-assertion,EventAssertion,assertionValueNumeric,"An asserted value, if it is numeric.",number,default,,`0`; `1`; `14.5`,gum,,,,
event-assertion,EventAssertion,assertionUnit,The units associated with the value in assertionValueNumeric.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `g`; `l`; `s`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,gum,http://rs.tdwg.org/dwc/terms/measurementUnit,,,
event-assertion,EventAssertion,assertionUnitIRI,The IRI for the units of an assertionValueNumeric.,string,default,,,gum,,,,
event-assertion,EventAssertion,assertionUnitVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionUnit is given.,string,default,,,gum,,,,
event-assertion,EventAssertion,assertionBy,"A list (concatenated and separated) of names of people, groups, or organizations who made an Assertion.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,
event-assertion,EventAssertion,assertionByID,An identifier for an Agent who made an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),gum,,,,
event-assertion,EventAssertion,assertionProtocol,"The names of, references to, or descriptions of the methods or protocols used in making an Assertion.",string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementMethod,,,
event-assertion,EventAssertion,assertionProtocolID,An identifier for a Protocol used to make an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/iri/measurementMethod,,,
event-assertion,EventAssertion,assertionCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with an Assertion.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
event-assertion,EventAssertion,assertionRemarks,Comments or notes about an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,
event-citation,EventCitation,citationID,An identifier for a Citation.,string,default,,,gum,,True,True,
event-citation,EventCitation,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,False,
event-citation,EventCitation,citationType,The category that best matches the nature of a Citation.,string,default,,,gum,,,,
event-citation,EventCitation,citationTypeIRI,The IRI of the controlled vocabulary value for the type of Citation.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
event-citation,EventCitation,citationTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in citationType is given.,string,default,,,gum,,,,
event-citation,EventCitation,bibliographicCitation,A bibliographic reference for the resource.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",dcterms,http://purl.org/dc/terms/bibliographicCitation,,,
event-citation,EventCitation,pageNumber,The number of the page on which the citation occurs in the cited reference.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",gum,,,,
event-citation,EventCitation,referenceID,An identifier for the reference in which a Citation occurs.,string,default,,,gum,,,,
event-citation,EventCitation,referenceType,The category that best matches the nature of a reference.,string,default,,`book`; `journal article`; `field notes`,gum,,,,
event-citation,EventCitation,referenceTypeIRI,The IRI of the controlled vocabulary value for the type of reference.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
event-citation,EventCitation,referenceTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in referenceType is given.,string,default,,,gum,,,,
event-citation,EventCitation,referenceYear,The year the reference in a Citation was published.,integer,default,,`2024`,gum,,,,
event-citation,EventCitation,isPeerReviewed,An indication of whether the reference for a Citation was peer reviewed.,boolean,default,,`true`; `false`,gum,,,,
event-citation,EventCitation,citationRemarks,Comments or notes about a Citation.,string,default,,`true`; `false`,gum,,,,
event-identifier,EventIdentifier,identifier,An unambiguous reference to a resource within a given context.,string,default,Recommended best practice is to identify a resource by means of a string conforming to a formal identification system.,,dcterms,http://purl.org/dc/terms/identifier,True,False,
event-identifier,EventIdentifier,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,False,
event-identifier,EventIdentifier,identifierType,The category or system that best matches the nature of an Identifier.,string,default,,,gum,,,,
event-identifier,EventIdentifier,identifierTypeIRI,The IRI of the controlled vocabulary value for the type of Identifier.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
event-identifier,EventIdentifier,identifierTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in identifierType is given.,string,default,,,gum,,,,
event-identifier,EventIdentifier,identifierLanguage,A language in which an Identifier is presented.,string,default,Recommended best prectice is to use an ISO639-2 three-letter language code.,`eng` (for Modern English); `spa` (for Castilian Standard Spanish),gum,,,,
event-media,EventMedia,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,False,
event-media,EventMedia,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,False,
event-media,EventMedia,mediaSubjectCategory,A term to describe the content of the image by a value from a controlled vocabulary.,string,default,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and MAY be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI SHOULD be used, or, as long as all unqualified terms in all vocabularies are unique, metadata SHOULD provide the source vocabularies using the Subject Category Vocabulary term. The value SHOULD be a string, whose text can also be in the form of a URL. These guidelines on value format are less restrictive than is specified by the IPTC guidelines.",`herbarium sheet scan`,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
event-media,EventMedia,mediaSubjectCategoryIRI,The IRI of the controlled vocabulary value for the subject category of the Media instance.,string,default,,,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
event-media,EventMedia,mediaSubjectCategoryVocabulary,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,string,default,"The AC recommended vocabularies do not need to be cited here. There is no required linkage between individual Subject Category terms and the vocabulary; the mechanism is intended to support discovery of the normative URI for a term, but not guarantee it.",`herbarium sheet scan`,ac,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,,,
event-protocol,EventProtocol,protocolID,An identifier for a Protocol.,string,default,,,gum,,True,False,
event-protocol,EventProtocol,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,False,
event,Event,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,True,
event,Event,parentEventID,An identifier for a broader dwc:Event that groups this and potentially other dwc:Events.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/parentEventID,,,
event,Event,preferredEventName,The name of a dwc:Event preferred in searches and results.,string,default,,,gum,,,,
event,Event,eventType,The category that best matches the nature of a dwc:Event.,string,default,Recommended best practice is to use a controlled vocabulary.,`MaterialGathering`; `Occurrence`; `Survey`; `SiteVisit`; `OrganismInteraction`; `CameraTrapDeployment`; `MediaCapture`,dwc,http://rs.tdwg.org/dwc/terms/eventType,,,
event,Event,eventTypeIRI,The IRI of the controlled vocabulary value for the type of dwc:Event.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,dwciri,http://rs.tdwg.org/dwc/iri/eventType,,,
event,Event,eventTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in dwc:eventType is given.,string,default,,,gum,,,,
event,Event,datasetName,A name for a dataset from which data originated.,string,default,,,dwc,http://rs.tdwg.org/dwc/terms/datasetName,,,
event,Event,datasetID,An identifier for a dataset from which data originated.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/datasetID,,,
event,Event,fieldNumber,An identifier given to a dwc:Event in the field.,string,default,Often serves as a link between field notes and a dwc:Event.,`RV Sol 87-03-08`,dwc,http://rs.tdwg.org/dwc/terms/fieldNumber,,,
event,Event,eventConductedBy,"A list (concatenated and separated) of names of people, groups, or organizations responsible for conducting or recording a dwc:Event.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/recordedBy,,,
event,Event,eventConductedByID,An identifier for the Agent responsible for conducting or recording a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,"`https://orcid.org/0000-0002-1825-0097`, `https://ror.org/00mh9zx15`",dwc,http://rs.tdwg.org/dwc/terms/recordedByID,,,
event,Event,eventDate,The date or time interval during which a dwc:Event occurred.,string,default,"For gathering dwc:Events, this is the date-time when the gathering took place.",`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),dwc,http://rs.tdwg.org/dwc/terms/eventDate,,,
event,Event,eventTime,The time or interval during which a dwc:Event occurred.,string,default,Recommended best practice is to use a time of day that conforms to ISO 8601-1:2019.,`14:07-0600` (2:07pm in the time zone six hours earlier than UTC); `08:40:21Z` (8:40:21am UTC); `13:00:00Z/15:30:00Z` (the interval between 1pm UTC and 3:30pm UTC),dwc,http://rs.tdwg.org/dwc/terms/eventTime,,,
event,Event,startDayOfYear,"The earliest integer day of the year on which a dwc:Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",integer,default,,"`1` (1 January); `32` (1 February); `366` (31 December); `365` (30 December in a leap year, 31 December in a non-leap year)",dwc,http://rs.tdwg.org/dwc/terms/startDayOfYear,False,,1.0
event,Event,endDayOfYear,"The latest integer day of the year on which a dwc:Event occurred (1 for January 1, 365 for December 31, except in a leap year, in which case it is 366).",integer,default,,"`1` (1 January); `32` (1 February); `366` (31 December); `365` (30 December in a leap year, 31 December in a non-leap year)",dwc,http://rs.tdwg.org/dwc/terms/endDayOfYear,False,,1.0
event,Event,year,"The four-digit year in which a dwc:Event occurred, according to the Common Era Calendar.",integer,default,,`1160`; `2008`,dwc,http://rs.tdwg.org/dwc/terms/year,,,
event,Event,month,The integer month in which a dwc:Event occurred.,integer,default,,`1` (January); `10` (October),dwc,http://rs.tdwg.org/dwc/terms/month,False,,1.0
event,Event,day,The integer day of the month on which a dwc:Event occurred.,integer,default,,`9`; `28`,dwc,http://rs.tdwg.org/dwc/terms/day,False,,1.0
event,Event,verbatimEventDate,The verbatim original representation of the date and time information for a dwc:Event.,string,default,,`spring 1910`; `Marzo 2002`; `1999-03-XX`; `17IV1934`,dwc,http://rs.tdwg.org/dwc/terms/verbatimEventDate,,,
event,Event,verbatimLocality,The original textual description of a dcterms:Location of a dwc:Event.,string,default,,`25 km NNE Bariloche por R. Nac. 237`,dwc,http://rs.tdwg.org/dwc/terms/verbatimLocality,,,
event,Event,verbatimElevation,"The original description of the elevation (altitude, usually above sea level) of a dcterms:Location.",string,default,,`100-200 m`,dwc,http://rs.tdwg.org/dwc/terms/verbatimElevation,,,
event,Event,verbatimDepth,The original description of the depth below a local surface.,string,default,,`100-200 m`,dwc,http://rs.tdwg.org/dwc/terms/verbatimDepth,,,
event,Event,verbatimCoordinates,The verbatim original spatial coordinates of a dcterms:Location.,string,default,"The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",`41 05 54S 121 05 34W`; `17T 630000 4833400`,dwc,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,,,
event,Event,verbatimLatitude,The verbatim original latitude of a dcterms:Location.,string,default,"The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",`41 05 54.03S`,dwc,http://rs.tdwg.org/dwc/terms/verbatimLatitude,,,
event,Event,verbatimLongitude,The verbatim original longitude of a dcterms:Location.,string,default,"The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",`121d 10' 34 W`,dwc,http://rs.tdwg.org/dwc/terms/verbatimLongitude,,,
event,Event,verbatimCoordinateSystem,The coordinate format for dwc:verbatimLatitude and dwc:verbatimLongitude or dwc:verbatimCoordinates.,string,default,Recommended best practice is to use a controlled vocabulary.,`decimal degrees`; `degrees decimal minutes`; `degrees minutes seconds`; `UTM`,dwc,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,,,
event,Event,verbatimSRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in dwc:verbatimLatitude and dwc:verbatimLongitude, or dwc:verbatimCoordinates are based.",string,default,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",`unknown`; `EPSG:4326`; `WGS84`; `NAD27`; `Campo Inchauspe`; `European 1950`; `Clarke 1866`,dwc,http://rs.tdwg.org/dwc/terms/verbatimSRS,,,
event,Event,georeferenceVerificationStatus,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description for the dcterms:Location of a dwc:Occurrence.,string,default,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`unable to georeference`; `requires georeference`; `requires verification`; `verified by data custodian`; `verified by contributor`,dwc,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,,,
event,Event,habitat,A category or description of the habitat in which a dwc:Event occurred.,string,default,,`oak savanna`; `pre-cordilleran steppe`,dwc,http://rs.tdwg.org/dwc/terms/habitat,,,
event,Event,sampleSizeValue,"A numeric value for a measurement of the size (time duration, length, area, or volume) of a sample in a sampling dwc:Event.",string,default,A dwc:sampleSizeValue must have a corresponding dwc:sampleSizeUnit.,`5` (sampleSizeValue) with `metre` (sampleSizeUnit),dwc,http://rs.tdwg.org/dwc/terms/sampleSizeValue,,,
event,Event,sampleSizeUnit,"The unit of measurement of the size (time duration, length, area, or volume) of a sample in a sampling dwc:Event.",string,default,"A dwc:sampleSizeUnit must have a corresponding dwc:sampleSizeValue, e.g., `5` for dwc:sampleSizeValue with `metre` for dwc:sampleSizeUnit.",`minute`; `hour`; `day`; `metre`; `square metre`; `cubic metre``,dwc,http://rs.tdwg.org/dwc/terms/sampleSizeUnit,,,
event,Event,eventEffort,The amount of effort expended during a dwc:Event.,string,default,,`40 trap-nights`; `10 observer-hours`; `10 km by foot`; `30 km by car`,eco,http://rs.tdwg.org/eco/terms/eventEffort,,,
event,Event,fieldNotes,"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about a dwc:Event.",string,default,,`Notes available in the Grinnell-Miller Library.`,dwc,http://rs.tdwg.org/dwc/terms/fieldNotes,,,
event,Event,eventCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with a dwc:Event.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
event,Event,eventRemarks,Comments or notes about a dwc:Event.,string,default,,`After the recent rains the river is nearly at flood stage.`,dwc,http://rs.tdwg.org/dwc/terms/eventRemarks,,,
event,Event,locationID,An identifier a dcterms:Location.,string,default,Recommended best practice is to use a globally unique identifier.,`https://opencontext.org/subjects/768A875F-E205-4D0B-DE55-BAB7598D0FD1`,dwc,http://rs.tdwg.org/dwc/terms/locationID,,,
event,Event,higherGeographyID,An identifier for the geographic region within which the dcterms:Location occurred.,string,default,Recommended best practice is to use a globally unique identifier.,"`http://vocab.getty.edu/tgn/1002002`  (Antártida e Islas del Atlántico Sur, Territorio Nacional de la Tierra del Fuego, Argentina).",dwc,http://rs.tdwg.org/dwc/terms/higherGeographyID,,,
event,Event,higherGeography,A list (concatenated and separated) of geographic names less specific than the information captured in dwc:locality.,string,default,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `), with terms in order from least specific to most specific.","`North Atlantic Ocean`; `South America | Argentina | Patagonia | Parque Nacional Nahuel Huapi | Neuquén | Los Lagos` with accompanying values `South America` (continent) `Argentina` (country), `Neuquén` (first order division), and `Los Lagos` (second order division)",dwc,http://rs.tdwg.org/dwc/terms/higherGeography,,,
event,Event,continent,The name of the continent in which the dcterms:Location occurs.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.",`Africa`; `Antarctica`; `Asia`; `Europe`; `North America`; `Oceania`; `South America`,dwc,http://rs.tdwg.org/dwc/terms/continent,,,
event,Event,waterBody,The name of the water body in which a dcterms:Location occurs.,string,default,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,`Indian Ocean`; `Baltic Sea`; `Hudson River`; `Lago Nahuel Huapi`,dwc,http://rs.tdwg.org/dwc/terms/waterBody,,,
event,Event,islandGroup,The name of the island group in which a dcterms:Location occurs.,string,default,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,`Alexander Archipelago`; `Archipiélago Diego Ramírez`; `Seychelles`,dwc,http://rs.tdwg.org/dwc/terms/islandGroup,,,
event,Event,island,The name of the island on or near which a dcterms:Location occurs.,string,default,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,`Nosy Be`; `Bikini Atoll`; `Vancouver`; `Viti Levu`; `Zanzibar`,dwc,http://rs.tdwg.org/dwc/terms/island,,,
event,Event,country,The name of the country or major administrative unit in which the dcterms:Location occurs.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.",`Denmark`; `Colombia`; `España`,dwc,http://rs.tdwg.org/dwc/terms/country,,,
event,Event,countryCode,The standard code for the country in which the dcterms:Location occurs.,string,default,"Recommended best practice is to use an ISO 3166-1-alpha-2 country code. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.",`AR`; `SV`,dwc,http://rs.tdwg.org/dwc/terms/countryCode,,,
event,Event,stateProvince,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which a dcterms:Location occurs.",string,default,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if a dcterms:Location spans multiple entities at this administrative level or if a dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.",`Montana`; `Minas Gerais`; `Córdoba`,dwc,http://rs.tdwg.org/dwc/terms/stateProvince,,,
event,Event,county,"The full, unabbreviated name of the next smaller administrative region than dwc:stateProvince (county, shire, department, etc.) in which the dcterms:Location occurs.",string,default,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.",`Missoula`; `Los Lagos`; `Mataró`,dwc,http://rs.tdwg.org/dwc/terms/county,,,
event,Event,municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which a dcterms:Location occurs. Do not use this term for a nearby named place that does not contain the actual location.",string,default,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if a dcterms:Location spans multiple entities at this administrative level or if a dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term `higherGeography` or in the term `locality`, or both.",`Holzminden`; `Araçatuba`; `Ga-Segonyana`,dwc,http://rs.tdwg.org/dwc/terms/municipality,,,
event,Event,locality,The specific description of the place.,string,default,"Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.","`Bariloche, 25 km NNE via Ruta Nacional 40 (=Ruta 237)`; `Queets Rainforest, Olympic National Park`",dwc,http://rs.tdwg.org/dwc/terms/locality,,,
event,Event,minimumElevationInMeters,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.",number,default,,`-100`; `802`,dwc,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,False,,-430.0
event,Event,maximumElevationInMeters,"The upper limit of the range of elevation (altitude, usually above sea level), in meters.",number,default,,`-205`; `1236`,dwc,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,False,,-430.0
event,Event,verticalDatum,The vertical datum used as the reference upon which the values in the elevation terms are based.,string,default,Recommended best practice is to use a controlled vocabulary.,`EGM84`; `EGM96`; `EGM2008`; `PGM2000A`; `PGM2004`; `PGM2006`; `PGM2007`; `epsg:7030`; `unknown`,dwc,http://rs.tdwg.org/dwc/terms/verticalDatum,,,
event,Event,minimumDepthInMeters,"The lesser depth of a range of depth below the local surface, in meters.",number,default,,`0`; `100`,dwc,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,False,,0.0
event,Event,maximumDepthInMeters,"The greater depth of a range of depth below the local surface, in meters.",number,default,,`0`; `200`,dwc,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,False,,0.0
event,Event,minimumDistanceAboveSurfaceInMeters,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.",number,default,,"`-1.5` (below the surface); `4.2` (above the surface); For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",dwc,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters,,,
event,Event,maximumDistanceAboveSurfaceInMeters,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.",number,default,,"`-1.5` (below the surface); `4.2` (above the surface); For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",dwc,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters,,,
event,Event,locationRemarks,Comments or notes about a dcterms:Location.,string,default,,`under water since 2005`,dwc,http://rs.tdwg.org/dwc/terms/locationRemarks,,,
